"Id","Value","AdminConsentDisplayName","AdminConsentDescription"
"bdfbf15f-ee85-4955-8675-146e8e5296b5","Application.ReadWrite.All","Read and write all applications","Allows the app to create, read, update and delete applications and service principals on behalf of the signed-in user. Does not allow management of consent grants."
"84bccea3-f856-4a8a-967b-dbe0a3d53a64","AppRoleAssignment.ReadWrite.All","Manage app permission grants and app role assignments","Allows the app to manage permission grants for application permissions to any API (including Microsoft Graph) and application assignments for any app, on behalf of the signed-in user."
"b0df437d-d341-4df0-aa3e-89ca81a1207f","ApprovalSolution.Read","Read approvals","Allows the app to read approvals on behalf of the signed-in user."
"6768d3af-4562-48ff-82d2-c5e19eb21b9c","ApprovalSolution.ReadWrite","Read, create, and respond to approvals","Allows the app to provision, read, create, and respond to approvals on behalf of the signed-in user."
"89d944f2-2011-44ad-830c-aa9bf5ef2319","ApprovalSolutionResponse.ReadWrite","Read and respond to approvals assigned to the current user","Allows the app to read and respond to approvals on behalf of the signed-in user."
"104a7a4b-ca76-4677-b7e7-2f4bc482f381","AttackSimulation.Read.All","Read attack simulation data of an organization","Allows the app to read attack simulation and training data for an organization for the signed-in user."
"27608d7c-2c66-4cad-a657-951d575f5a60","AttackSimulation.ReadWrite.All","Read, create, and update attack simulation data of an organization","Allows the app to read, create, and update attack simulation and training data for an organization for the signed-in user."
"16786f81-40d2-4116-bb26-d1a753bf0b20","AuditActivity.Read","Read activity audit log from the audit store.","Read activity audit log from the audit store."
"a78fd341-0672-4792-a8ae-a5925b2546eb","AuditActivity.Write","Upload activity audit logs to the audit store.","Allows the application to upload bulk activity audit logs to the audit store."
"e4c9e354-4dc5-45b8-9e7c-e1393b0b1a20","AuditLog.Read.All","Read audit log data","Allows the app to read and query your audit log activities, on behalf of the signed-in user."
"ba78b16f-1e01-41b6-89ca-73e0a32b304c","AuditLogsQuery-CRM.Read.All","Read audit logs data from Dynamics CRM workload","Allows the app to read and query audit logs from Dynamics CRM workload, on behalf of the signed-in user."
"ee3409fe-617f-43cf-bd1e-fc8b38049e69","AuditLogsQuery-Endpoint.Read.All","Read audit logs data from Endpoint Data Loss Prevention workload","Allows the app to read and query audit logs from Endpoint Data Loss Prevention workload, on behalf of the signed-in user."
"5ff2f415-e0f1-4d11-bfd0-6d87c0f667fd","AuditLogsQuery-Entra.Read.All","Read audit logs data from Entra (Azure AD) workload","Allows the app to read and query audit logs from Entra (Azure AD) workload, on behalf of the signed-in user."
"6c8c71d2-c7e1-45b0-ac6d-1d2724fba6ae","AuditLogsQuery-Exchange.Read.All","Read audit logs data from Exchange workload","Allows the app to read and query audit logs from Exchange workload, on behalf of a signed-in user."
"4a72c235-a50d-4870-b598-fd88fd1fa074","AuditLogsQuery-OneDrive.Read.All","Read audit logs data from OneDrive workload","Allows the app to read and query audit logs from OneDrive workload, on behalf of a signed-in user."
"30630b65-ed12-4a81-9130-e3a964109fae","AuditLogsQuery-SharePoint.Read.All","Read audit logs data from SharePoint workload","Allows the app to read and query audit logs from SharePoint workload, on behalf of a signed-in user."
"1d9e7ac3-0eca-442c-82f9-e92625af6e6d","AuditLogsQuery.Read.All","Read audit logs data from all services","Allows the app to read and query audit logs from all services, on behalf of a signed-in user"
"57b030f1-8c35-469c-b0d9-e4a077debe70","AuthenticationContext.Read.All","Read all authentication context information","Allows the app to read all authentication context information in your organization on behalf of the signed-in user."
"ba6d575a-1344-4516-b777-1404f5593057","AuthenticationContext.ReadWrite.All","Read and write all authentication context information","Allows the app to read and update all authentication context information in your organization on behalf of the signed-in user."
"444ed4b6-0554-4dc6-8e9c-3f9a34ee3ff6","BackupRestore-Configuration.Read.All","Read backup configuration policies","Allows the app to read the backup configuration, and list of Microsoft 365 service resources to be backed-up, on behalf of the signed in user."
"a0244d16-171c-4496-8ffb-7b9b6954d339","BackupRestore-Configuration.ReadWrite.All","Read and edit backup configuration policies","Allows the app to read and update the backup configuration, and list of Microsoft 365 service resources to be backed-up, on behalf of the signed in user."
"af598c63-4292-4437-b925-e996354d3854","BackupRestore-Control.Read.All","Read the status of the M365 backup service","Allows the app to read the status of M365 backup service (enable/disable), on behalf of the signed in user."
"96d46335-d92d-41b8-bc9f-273a692381ea","BackupRestore-Control.ReadWrite.All","Update or read the status of the M365 backup service","Allows the app to update or read the status of M365 backup service (enable/disable), on behalf of the signed in user."
"b4e98de1-4600-4e90-b5e1-7c1dfef04e5c","BackupRestore-Monitor.Read.All","Read monitoring, quota and billing information for the tenant","Allows the app to monitor backup and restore jobs, view quota usage and billing details, on behalf of the signed in user."
"94b36f78-434f-4904-8c08-421d9a9c1dc2","BackupRestore-Restore.Read.All","Read restore sessions","Allows the app to read restore sessions, on behalf of the signed in user."
"9f89e109-94b9-4c9b-b4fc-98cdaa54f574","BackupRestore-Restore.ReadWrite.All","Read restore sessions and start restore sessions from backups","Allows the app to search the backup snapshots for Microsoft 365 resources, and restore Microsoft 365 resources from a backed-up snapshot, on behalf of the signed in user."
"2b24830f-f435-446f-ab5a-b1e70d9a2eb5","BackupRestore-Search.Read.All","Search for metadata properties in backup snapshots","Allows the app to search the backup snapshots for Microsoft 365 resources, on behalf of the signed in user."
"2bf6d319-dfca-4c22-9879-f88dcfaee6be","BillingConfiguration.ReadWrite.All","Read and write application billing configuration","Allows the app to read and write the billing configuration on all applications on behalf of the signed-in user."
"b27a61ec-b99c-4d6a-b126-c4375d08ae30","BitlockerKey.Read.All","Read BitLocker keys","Allows the app to read BitLocker keys on behalf of the signed-in user, for their owned devices. Allows read of the recovery key."
"5a107bfc-4f00-4e1a-b67e-66451267bc68","BitlockerKey.ReadBasic.All","Read BitLocker keys basic information","Allows the app to read basic BitLocker key properties on behalf of the signed-in user, for their owned devices. Does not allow read of the recovery key itself."
"7f36b48e-542f-4d3b-9bcb-8406f0ab9fdb","Bookings.Manage.All","Manage bookings information","Allows an app to read, write and manage bookings appointments, businesses, customers, services, and staff on behalf of the signed-in user."
"33b1df99-4b29-4548-9339-7a7b83eaeebc","Bookings.Read.All","Read bookings information","Allows an app to read bookings appointments, businesses, customers, services, and staff on behalf of the signed-in user."
"948eb538-f19d-4ec5-9ccc-f059e1ea4c72","Bookings.ReadWrite.All","Read and write bookings information","Allows an app to read and write bookings appointments, businesses, customers, services, and staff on behalf of the signed-in user. Does not allow create, delete and publish of booking businesses."
"02a5a114-36a6-46ff-a102-954d89d9ab02","BookingsAppointment.ReadWrite.All","Read and write booking appointments","Allows an app to read and write bookings appointments and customers, and additionally allows read businesses information, services, and staff on behalf of the signed-in user."
"98b17b35-f3b1-4849-a85f-9f13733002f0","Bookmark.Read.All","Read all bookmarks that the user can access","Allows an app to read all bookmarks that the signed-in user can access."
"fb9be2b7-a7fc-4182-aec1-eda4597c43d5","BrowserSiteLists.Read.All","Read browser site lists for your organization","Allows an app to read the browser site lists configured for your organization, on behalf of the signed-in user."
"83b34c85-95bf-497b-a04e-b58eca9d49d0","BrowserSiteLists.ReadWrite.All","Read and write browser site lists for your organization","Allows an app to read and write the browser site lists configured for your organization, on behalf of the signed-in user."
"d16480b2-e469-4118-846b-d3d177327bee","BusinessScenarioConfig.Read.All","Read business scenario configurations","Allows the app to read the configurations of your organization's business scenarios, on behalf of the signed-in user."
"c47e7b6e-d6f1-4be9-9ffd-1e00f3e32892","BusinessScenarioConfig.Read.OwnedBy","Read business scenario configurations this app creates or owns","Allows the app to read the configurations of business scenarios it owns, on behalf of the signed-in user."
"755e785b-b658-446f-bb22-5a46abd029ea","BusinessScenarioConfig.ReadWrite.All","Read and write business scenario configurations","Allows the app to read and write the configurations of your organization's business scenarios, on behalf of the signed-in user."
"b3b7fcff-b4d4-4230-bf6f-90bd91285395","BusinessScenarioConfig.ReadWrite.OwnedBy","Read and write business scenario configurations this app creates or owns","Allows the app to create new business scenarios and fully manage the configurations of scenarios it owns, on behalf of the signed-in user."
"25b265c4-5d34-4e44-952d-b567f6d3b96d","BusinessScenarioData.Read.OwnedBy","Read all data for business scenarios this app creates or owns","Allows the app to read all data associated with the business scenarios it owns. Data access will be attributed to the signed-in user."
"19932d57-2952-4c60-8634-3655c79fc527","BusinessScenarioData.ReadWrite.OwnedBy","Read and write all data for business scenarios this app creates or owns","Allows the app to fully manage all data associated with the business scenarios it owns. Data access and changes will be attributed to the signed-in user."
"465a38f9-76ea-45b9-9f34-9e8b0d4b0b42","Calendars.Read","Read user calendars ","Allows the app to read events in user calendars."
"2b9c4092-424d-4249-948d-b43879977640","Calendars.Read.Shared","Read user and shared calendars","Allows the app to read events in all calendars that the user can access, including delegate and shared calendars."
"662d75ba-a364-42ad-adee-f5f880ea4878","Calendars.ReadBasic","Read basic details of user calendars","Allows the app to read events in user calendars, except for properties such as body, attachments, and extensions."
"1ec239c2-d7c9-4623-a91a-a9775856bb36","Calendars.ReadWrite","Have full access to user calendars ","Allows the app to create, read, update, and delete events in user calendars."
"12466101-c9b8-439a-8589-dd09ee67e8e9","Calendars.ReadWrite.Shared","Read and write user and shared calendars","Allows the app to create, read, update and delete events in all calendars in the organization user has permissions to access. This includes delegate and shared calendars."
"e24bdaf9-83f8-468b-a144-c681ccb6caf4","CallAiInsights.Read.All","Read all AI Insights for calls. ","Allows the app to read all AI Insights for calls, on behalf of the signed-in user."
"305b375b-00fe-48bf-81bc-e8d78954c1b6","CallDelegation.Read","Read delegation settings","Allows the app to read delegation settings of you"
"599abf67-f72b-4b5f-98a3-cb38fe646118","CallDelegation.ReadWrite","Read and write delegation settings","Allows the app to read and write delegation settings of you"
"43431c03-960e-400f-87c6-8f910321dca3","CallEvents.Read","Read call event data","Allows the app to read call event information for an organization for the signed-in user."
"63d31bd6-bcf5-40ca-8283-ba4130a66405","CallRecordings.Read.All","Read all recordings of calls. ","Allows the app to read all recordings of calls, on behalf of the signed-in user."
"fbace248-5d8e-441c-85ca-cc19221a69a2","CallTranscripts.Read.All","Read all transcripts of calls. ","Allows the app to read all transcripts of calls, on behalf of the signed-in user."
"4628dff5-c33e-4fde-b17a-b64e7acb1bed","ChangeManagement.Read.All","Read Change Management items","Allows to read all Change Management items."
"101147cf-4178-4455-9d58-02b5c164e759","Channel.Create","Create channels","Create channels in any team, on behalf of the signed-in user."
"cc83893a-e232-4723-b5af-bd0b01bcfe65","Channel.Delete.All","Delete channels","Delete channels in any team, on behalf of the signed-in user."
"9d8982ae-4365-4f57-95e9-d6032a4c0b87","Channel.ReadBasic.All","Read the names and descriptions of channels","Read channel names and channel descriptions, on behalf of the signed-in user."
"2eadaff8-0bce-4198-a6b9-2cfc35a30075","ChannelMember.Read.All","Read the members of channels","Read the members of channels, on behalf of the signed-in user."
"0c3e411a-ce45-4cd1-8f30-f99a3efa7b11","ChannelMember.ReadWrite.All","Add and remove members from channels","Add and remove members from channels, on behalf of the signed-in user. Also allows changing a member's role, for example from owner to non-owner."
"2b61aa8a-6d36-4b2f-ac7b-f29867937c53","ChannelMessage.Edit","Edit user's channel messages","Allows an app to edit channel messages in Microsoft Teams, on behalf of the signed-in user."
"767156cb-16ae-4d10-8f8b-41b657c8c8c8","ChannelMessage.Read.All","Read user channel messages","Allows an app to read a channel's messages in Microsoft Teams, on behalf of the signed-in user."
"5922d31f-46c8-4404-9eaf-2117e390a8a4","ChannelMessage.ReadWrite","Read and write user channel messages","Allows the app to read and write channel messages, on behalf of the signed-in user. This doesn't allow the app to edit the policyViolation of a channel message."
"ebf0f66e-9fb1-49e4-a278-222f76911cf4","ChannelMessage.Send","Send channel messages","Allows an app to send channel messages in Microsoft Teams, on behalf of the signed-in user."
"233e0cf1-dd62-48bc-b65b-b38fe87fcf8e","ChannelSettings.Read.All","Read the names, descriptions, and settings of channels","Read all channel names, channel descriptions, and channel settings, on behalf of the signed-in user."
"d649fb7c-72b4-4eec-b2b4-b15acf79e378","ChannelSettings.ReadWrite.All","Read and write the names, descriptions, and settings of channels","Read and write the names, descriptions, and settings of all channels, on behalf of the signed-in user."
"38826093-1258-4dea-98f0-00003be2b8d0","Chat.Create","Create chats","Allows the app to create chats on behalf of the signed-in user."
"bb64e6fc-6b6d-4752-aea0-dd922dbba588","Chat.ManageDeletion.All","Delete and recover deleted chats","Allows the app to delete and recover deleted chats, on behalf of the signed-in user."
"f501c180-9344-439a-bca0-6cbf209fd270","Chat.Read","Read user chat messages","Allows an app to read 1 on 1 or group chats threads, on behalf of the signed-in user."
"9547fcb5-d03f-419d-9948-5928bbf71b0f","Chat.ReadBasic","Read names and members of user chat threads","Allows an app to read the members and descriptions of one-to-one and group chat threads, on behalf of the signed-in user."
"9ff7295e-131b-4d94-90e1-69fde507ac11","Chat.ReadWrite","Read and write user chat messages","Allows an app to read and write 1 on 1 or group chats threads, on behalf of the signed-in user."
"7e9a077b-3711-42b9-b7cb-5fa5f3f7fea7","Chat.ReadWrite.All","Read and write all chat messages","Allows an app to read and write all one-to-one and group chats in Microsoft Teams, without a signed-in user. Does not allow sending messages."
"c5a9e2b1-faf6-41d4-8875-d381aa549b24","ChatMember.Read","Read the members of chats","Read the members of chats, on behalf of the signed-in user."
"dea13482-7ea6-488f-8b98-eb5bbecf033d","ChatMember.ReadWrite","Add and remove members from chats","Add and remove members from chats, on behalf of the signed-in user."
"cdcdac3a-fd45-410d-83ef-554db620e5c7","ChatMessage.Read","Read user chat messages","Allows an app to read one-to-one and group chat messages, on behalf of the signed-in user."
"116b7235-7cc6-461e-b163-8e55691d839e","ChatMessage.Send","Send user chat messages","Allows an app to send one-to-one and group chat messages in Microsoft Teams, on behalf of the signed-in user."
"ad46d60e-1027-4b75-af88-7c14ccf43a19","CloudApp-Discovery.Read.All","Read discovered cloud applications data","Allows the app to read details of discovered cloud apps in the organization, on behalf of the signed in user."
"5252ec4e-fd40-4d92-8c68-89dd1d3c6110","CloudPC.Read.All","Read Cloud PCs","Allows the app to read the properties of Cloud PCs on behalf of the signed-in user."
"9d77138f-f0e2-47ba-ab33-cd246c8b79d1","CloudPC.ReadWrite.All","Read and write Cloud PCs","Allows the app to read and write the properties of Cloud PCs on behalf of the signed-in user."
"12ae2e92-14b5-47b2-babb-4e890bbedc0a","Community.Read.All","Read all Viva Engage communities","Allows the app to list Viva Engage communities, and to read their properties on behalf of the signed-in user."
"9e69467d-e0e2-402b-a926-3d796990197f","Community.ReadWrite.All","Read and write all Viva Engage communities","Allows the app to create Viva Engage communities and read all community properties on behalf of the signed-in user."
"c645bb69-adc4-4242-b620-02e635f03bf6","ConfigurationMonitoring.Read.All","Read all Configuration Monitoring entities","Allows the app to read all Configuration Monitoring entities on behalf of the signed-in user."
"54505ce9-e719-41f7-a7cc-dbe114e1d811","ConfigurationMonitoring.ReadWrite.All","Read and write all Configuration Monitoring entities","Allows the app to read and write all Configuration Monitoring entities on behalf of the signed-in user."
"f2143d35-9b4b-480d-951c-d083e69eeb2c","ConsentRequest.Create","Create consent requests","Allows the app to read create consent requests on behalf of the signed-in user."
"5942b2f6-5a7b-40af-aa37-4b6ea5447506","ConsentRequest.Read","Read consent requests created by the user","Allows the app to read consent requests and approvals created by the signed-in user, on behalf of the signed-in user."
"f3bfad56-966e-4590-a536-82ecf548ac1e","ConsentRequest.Read.All","Read consent requests","Allows the app to read consent requests and approvals on behalf of the signed-in user."
"e694a3a1-7878-46d8-8c29-3d195f6589f4","ConsentRequest.ReadApprove.All","Read and approve consent requests","Allows the app to read and approve consent requests on behalf of the signed in user."
"497d9dfa-3bd1-481a-baab-90895e54568c","ConsentRequest.ReadWrite.All","Read and write consent requests","Allows the app to read app consent requests and approvals, and deny or approve those requests on behalf of the signed-in user."
"1e4c6c41-0803-4f52-85ef-0a5d63ad8670","Contacts-OnPremisesSyncBehavior.ReadWrite.All","Read and update the on-premises sync behavior of contacts","Allows the app to read and update the on-premises sync behavior of contacts a user has permissions to, including their own and shared contacts."
"ff74d97f-43af-4b68-9f2a-b77ee6968c5d","Contacts.Read","Read user contacts ","Allows the app to read user contacts.  "
"242b9d9e-ed24-4d09-9a52-f43769beb9d4","Contacts.Read.Shared","Read user and shared contacts","Allows the app to read contacts a user has permissions to access, including their own and shared contacts."
"d56682ec-c09e-4743-aaf4-1a3aac4caa21","Contacts.ReadWrite","Have full access to user contacts ","Allows the app to create, read, update, and delete user contacts."
"afb6c84b-06be-49af-80bb-8f3f77004eab","Contacts.ReadWrite.Shared","Read and write user and shared contacts","Allows the app to create, read, update, and delete contacts a user has permissions to, including their own and shared contacts."
"7e2467d1-f874-46bb-828e-24cb06b29d3f","Content.Process.All","Process content for data security, governance and compliance","Allows the app to process and evaluate content for data security, governance and compliance outcomes at tenant scope."
"1d787a13-f750-4ad6-875a-fcbd2725596b","Content.Process.User","Process content for data security, governance and compliance","Allows the app to process and evaluate content for data security, governance and compliance outcomes for a user."
"62c55b2f-a2b1-4312-8385-be57afd901b4","ContentActivity.Read","Read contents activity audit log from the audit store.","Read contents activity audit log from the audit store."
"948caae6-152a-48cd-a746-4844af30e8e9","ContentActivity.Write","Upload contents activity audit logs to the audit store.","Allows the application to upload bulk contents activity audit logs to the audit store."
"aeb2982d-632d-4155-b533-18756ab6fdd8","CopilotSettings-LimitedMode.Read","Read organization-wide copilot limited mode setting","Allows the app to read organization-wide copilot limited mode setting on behalf of the signed-in user."
"4704e5b2-0ada-4aa0-b18c-00ad7525bc06","CopilotSettings-LimitedMode.ReadWrite","Read and write organization-wide copilot limited mode setting","Allows the app to read and write organization-wide copilot limited mode setting on behalf of the signed-in user."
"81594d25-e88e-49cf-ac8c-fecbff49f994","CrossTenantInformation.ReadBasic.All","Read cross-tenant basic information","Allows the application to obtain basic tenant information about another target tenant within the Azure AD ecosystem on behalf of the signed-in user."
"cb1ba48f-d22b-4325-a07f-74135a62ee41","CrossTenantUserProfileSharing.Read","Read shared cross-tenant user profile and export data","Allows the application to list and query user profile information associated with the current tenant on behalf of the signed-in user.  It also permits the application to export external user data (e.g. customer content or system-generated logs), associated with the current tenant on behalf of the signed-in user."
"759dcd16-3c90-463c-937e-abf89f991c18","CrossTenantUserProfileSharing.Read.All","Read all shared cross-tenant user profiles and export their data","Allows the application to list and query any shared user profile information associated with the current tenant on behalf of the signed-in user.  It also permits the application to export external user data (e.g. customer content or system-generated logs), for any user associated with the current tenant on behalf of the signed-in user."
"eed0129d-dc60-4f30-8641-daf337a39ffd","CrossTenantUserProfileSharing.ReadWrite","Read shared cross-tenant user profile and export or delete data","Allows the application to list and query user profile information associated with the current tenant on behalf of the signed-in user.  It also permits the application to export and remove external user data (e.g. customer content or system-generated logs), associated with the current tenant on behalf of the signed-in user."
"64dfa325-cbf8-48e3-938d-51224a0cac01","CrossTenantUserProfileSharing.ReadWrite.All","Read all shared cross-tenant user profiles and export or delete their data","Allows the application to list and query any shared user profile information associated with the current tenant on behalf of the signed-in user.  It also permits the application to export and remove external user data (e.g. customer content or system-generated logs), for any user associated with the current tenant on behalf of the signed-in user."
"b2052569-c98c-4f36-a5fb-43e5c111e6d0","CustomAuthenticationExtension.Read.All","Read your organization's custom authentication extensions","Allows the app to read your organization's custom authentication extensions on behalf of the signed-in user."
"8dfcf82f-15d0-43b3-bc78-a958a13a5792","CustomAuthenticationExtension.ReadWrite.All","Read and write your organization's custom authentication extensions","Allows the app to read or write your organization's custom authentication extensions on behalf of the signed-in user."
"b13ff42e-f321-4d7d-a462-141c46a1b832","CustomDetection.Read.All","Read custom detection rules","Allows the app to read custom detection rules on behalf of the signed-in user."
"c34088fb-0649-4714-af0b-bcbfec155897","CustomDetection.ReadWrite.All","Read and write custom detection rules","Allows the app to read and write custom detection rules on behalf of the signed-in user."
"b46ffa80-fe3d-4822-9a1a-c200932d54d0","CustomSecAttributeAssignment.Read.All","Read custom security attribute assignments","Allows the app to read custom security attribute assignments for all principals in the tenant on behalf of a signed in user."
"ca46335e-8453-47cd-a001-8459884efeae","CustomSecAttributeAssignment.ReadWrite.All","Read and write custom security attribute assignments","Allows the app to read and write custom security attribute assignments for all principals in the tenant on behalf of a signed in user."
"1fcdeaab-b519-44dd-bffc-ed1fd15a24e0","CustomSecAttributeAuditLogs.Read.All","Read custom security attribute audit logs","Allows the app to read audit logs for events that contain information about custom security attributes, on behalf of the signed-in user."
"ce026878-a0ff-4745-a728-d4fedd086c07","CustomSecAttributeDefinition.Read.All","Read custom security attribute definitions","Allows the app to read custom security attribute definitions for the tenant on behalf of a signed in user."
"8b0160d4-5743-482b-bb27-efc0a485ca4a","CustomSecAttributeDefinition.ReadWrite.All","Read and write custom security attribute definitions","Allows the app to read and write custom security attribute definitions for the tenant on behalf of a signed in user."
"9ddd870d-077c-49e7-b3e3-6b3012a8a880","CustomSecAttributeProvisioning.Read.All","Read the provisioning configuration of all active custom security attributes","Allows the app to read the provisioning configuration of all active custom security attributes on behalf of a signed in user."
"1140d9e4-6776-433e-a9e4-b9831adbb2e0","CustomSecAttributeProvisioning.ReadWrite.All","Read and edit the provisioning configuration of all active custom security attributes","Allows the app to read and edit the provisioning configuration of all active custom security attributes on behalf of a signed in user."
"de6ea87d-10bd-467c-8682-d525a0c61b89","CustomTags.Read.All","Read all custom tags data","Read custom tags data on behalf of the signed-in user"
"2f1bbe0a-f34b-4efb-9edb-8db8dcb50eca","CustomTags.ReadWrite.All","Read and write custom tags data","Read and write custom tags data on behalf of the signed-in user"
"0c0064ea-477b-4130-82a5-4c2cc4ff68aa","DelegatedAdminRelationship.Read.All","Read Delegated Admin relationships with customers","Allows the app to read details of delegated admin relationships with customers like access details (that includes roles) and the duration as well as specific role assignments to security groups on behalf of the signed-in user."
"885f682f-a990-4bad-a642-36736a74b0c7","DelegatedAdminRelationship.ReadWrite.All","Manage Delegated Admin relationships with customers","Allows the app to manage (create-update-terminate) Delegated Admin relationships with customers as well as role assignments to security groups for active Delegated Admin relationships on behalf of the signed-in user."
"a197cdc4-a8e8-4d49-9d35-4ca7c83887b4","DelegatedPermissionGrant.Read.All","Read delegated permission grants","Allows the app to read delegated permission grants, on behalf of the signed in user."
"41ce6ca6-6826-4807-84f1-1c82854f7ee5","DelegatedPermissionGrant.ReadWrite.All","Manage all delegated permission grants","Allows the app to manage permission grants for delegated permissions exposed by any API (including Microsoft Graph), on behalf of the signed in user."
"bac3b9c2-b516-4ef4-bd3b-c2ef73d8d804","Device.Command","Communicate with user devices","Allows the app to launch another app or communicate with another app on a user's device on behalf of the signed-in user."
"edc92e89-a987-48a9-911a-a7b1967dd7b1","Device.CreateFromOwnedTemplate","Create devices based on owned device templates","Allows the app to create device objects based on device templates owned by the signed-in user, on behalf of the signed in user."
"11d4cd79-5ba5-460f-803f-e22c8ab85ccd","Device.Read","Read user devices","Allows the app to read a user's list of devices on behalf of the signed-in user."
"951183d1-1a61-466f-a6d1-1fde911bfd95","Device.Read.All","Read all devices","Allows the app to read your organization's devices' configuration information on behalf of the signed-in user."
"280b3b69-0437-44b1-bc20-3b2fca1ee3e9","DeviceLocalCredential.Read.All","Read device local credential passwords","Allows the app to read device local credential properties including passwords, on behalf of the signed-in user."
"9917900e-410b-4d15-846e-42a357488545","DeviceLocalCredential.ReadBasic.All","Read device local credential properties","Allows the app to read device local credential properties excluding passwords, on behalf of the signed-in user."
"4edf5f54-4666-44af-9de9-0144fb4b6e8c","DeviceManagementApps.Read.All","Read Microsoft Intune apps","Allows the app to read the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune."
"7b3f05d5-f68c-4b8d-8c59-a2ecd12f24af","DeviceManagementApps.ReadWrite.All","Read and write Microsoft Intune apps","Allows the app to read and write the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune."
"ac5c8443-d999-471f-9247-ce92cf5c5560","DeviceManagementCloudCA.Read.All","Read Microsoft Cloud PKI objects","Allows the app to read certification authority information on behalf of the signed-in user."
